# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
0.02          	1.736696e+02	8.684580e+01	8.682378e+01	-2.202285e-02	-1.101138e-02	-1.101147e-02	4.330375e-08	1.101143e-02	8.683479e+01	2.779375e-16	8.683479e+01	-8.683479e+01
0.04          	-8.802640e+01	-4.404581e+01	-4.398058e+01	6.523153e-02	1.641319e-02	4.881834e-02	-1.620257e-02	-3.261576e-02	-4.401320e+01	-1.276374e-16	-4.401320e+01	4.401320e+01
0.06          	6.512173e+00	3.236018e+00	3.276155e+00	4.013673e-02	1.726668e-02	2.287005e-02	-2.801683e-03	-2.006837e-02	3.256086e+00	-1.578523e-18	3.256086e+00	-3.256086e+00
0.08          	1.603598e+00	8.061223e-01	7.974762e-01	-8.646087e-03	-3.264831e-03	-5.381256e-03	1.058212e-03	4.323043e-03	8.017992e-01	2.664971e-20	8.017992e-01	-8.017992e-01
0.1           	1.899424e+00	9.465331e-01	9.528908e-01	6.357717e-03	4.179269e-03	2.178448e-03	1.000410e-03	-3.178858e-03	9.497120e-01	1.023148e-19	9.497120e-01	-9.497120e-01
0.12          	1.991173e+00	9.974687e-01	9.937044e-01	-3.764256e-03	-1.214913e-03	-2.549342e-03	6.672146e-04	1.882128e-03	9.955865e-01	1.005670e-19	9.955865e-01	-9.955865e-01
0.14          	1.908123e+00	9.553622e-01	9.527604e-01	-2.601821e-03	-7.669081e-04	-1.834913e-03	5.340025e-04	1.300911e-03	9.540613e-01	9.343459e-20	9.540613e-01	-9.540613e-01
0.16          	1.804212e+00	9.034990e-01	9.007129e-01	-2.786128e-03	-9.141281e-04	-1.872000e-03	4.789358e-04	1.393064e-03	9.021060e-01	8.892300e-20	9.021060e-01	-9.021060e-01
0.18          	1.708368e+00	8.562718e-01	8.520963e-01	-4.175523e-03	-1.644680e-03	-2.530843e-03	4.430813e-04	2.087762e-03	8.541841e-01	8.389087e-20	8.541841e-01	-8.541841e-01
0.2           	1.623538e+00	8.137729e-01	8.097655e-01	-4.007454e-03	-1.589850e-03	-2.417604e-03	4.138769e-04	2.003727e-03	8.117692e-01	8.443894e-20	8.117692e-01	-8.117692e-01
0.22          	1.583782e+00	7.934616e-01	7.903201e-01	-3.141557e-03	-1.181072e-03	-1.960485e-03	3.897061e-04	1.570779e-03	7.918908e-01	8.305134e-20	7.918908e-01	-7.918908e-01
0.24          	1.536670e+00	7.698198e-01	7.668502e-01	-2.969640e-03	-1.117385e-03	-1.852255e-03	3.674353e-04	1.484820e-03	7.683350e-01	8.322732e-20	7.683350e-01	-7.683350e-01
0.26          	1.507434e+00	7.552476e-01	7.521865e-01	-3.061071e-03	-1.182939e-03	-1.878132e-03	3.475963e-04	1.530535e-03	7.537171e-01	8.094775e-20	7.537171e-01	-7.537171e-01
0.28          	1.483915e+00	7.429173e-01	7.409981e-01	-1.919174e-03	-6.304938e-04	-1.288680e-03	3.290933e-04	9.595871e-04	7.419577e-01	7.874964e-20	7.419577e-01	-7.419577e-01
0.3           	1.460255e+00	7.307845e-01	7.294702e-01	-1.314330e-03	-3.455527e-04	-9.687770e-04	3.116121e-04	6.571649e-04	7.301274e-01	7.802298e-20	7.301274e-01	-7.301274e-01
0.32          	1.440187e+00	7.212202e-01	7.189670e-01	-2.253283e-03	-8.308768e-04	-1.422406e-03	2.957645e-04	1.126641e-03	7.200936e-01	7.636250e-20	7.200936e-01	-7.200936e-01
0.34          	1.423639e+00	7.124851e-01	7.111542e-01	-1.330859e-03	-3.840365e-04	-9.468227e-04	2.813931e-04	6.654296e-04	7.118196e-01	7.494527e-20	7.118196e-01	-7.118196e-01
0.36          	1.412965e+00	7.067431e-01	7.062224e-01	-5.206734e-04	8.121771e-06	-5.287952e-04	2.684585e-04	2.603367e-04	7.064827e-01	7.368666e-20	7.064827e-01	-7.064827e-01
