# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
0.02          	2.078768e+02	1.041472e+02	1.037297e+02	-4.174804e-01	-2.087401e-01	-2.087402e-01	5.098830e-08	2.087402e-01	1.039384e+02	3.665903e-17	1.039384e+02	-1.039384e+02
0.04          	-1.262553e+02	-6.351055e+01	-6.274474e+01	7.658173e-01	3.958097e-01	3.700076e-01	1.290107e-02	-3.829087e-01	-6.312764e+01	-1.768366e-17	-6.312764e+01	6.312764e+01
0.06          	1.634223e+01	8.361603e+00	7.980623e+00	-3.809805e-01	-1.978802e-01	-1.831002e-01	-7.389997e-03	1.904902e-01	8.171113e+00	-1.357510e-19	8.171113e+00	-8.171113e+00
0.08          	-3.802199e-01	-1.617356e-01	-2.184842e-01	-5.674856e-02	-2.934277e-02	-2.740579e-02	-9.684890e-04	2.837428e-02	-1.901099e-01	-4.085568e-20	-1.901099e-01	1.901099e-01
0.1           	1.074154e+00	5.369185e-01	5.372351e-01	3.166041e-04	-1.232196e-03	1.548800e-03	-1.390498e-03	-1.583020e-04	5.370768e-01	-1.794650e-20	5.370768e-01	-5.370768e-01
0.12          	9.002818e-01	4.494469e-01	4.508348e-01	1.387885e-03	-7.376065e-04	2.125492e-03	-1.431549e-03	-6.939427e-04	4.501409e-01	-1.431383e-20	4.501409e-01	-4.501409e-01
0.14          	8.927205e-01	4.473556e-01	4.453650e-01	-1.990602e-03	-2.491767e-03	5.011650e-04	-1.496466e-03	9.953011e-04	4.463603e-01	-1.403014e-20	4.463603e-01	-4.463603e-01
0.16          	9.025314e-01	4.520768e-01	4.504546e-01	-1.622246e-03	-2.343423e-03	7.211768e-04	-1.532300e-03	8.111230e-04	4.512657e-01	-1.444012e-20	4.512657e-01	-4.512657e-01
0.18          	9.159310e-01	4.588997e-01	4.570312e-01	-1.868512e-03	-2.479750e-03	6.112373e-04	-1.545493e-03	9.342562e-04	4.579655e-01	-1.459561e-20	4.579655e-01	-4.579655e-01
0.2           	9.280701e-01	4.650309e-01	4.630392e-01	-1.991650e-03	-2.537282e-03	5.456314e-04	-1.541457e-03	9.958252e-04	4.640350e-01	-1.476104e-20	4.640350e-01	-4.640350e-01
0.22          	9.397166e-01	4.709016e-01	4.688151e-01	-2.086529e-03	-2.567918e-03	4.813894e-04	-1.524654e-03	1.043265e-03	4.698583e-01	-1.493863e-20	4.698583e-01	-4.698583e-01
0.24          	9.510506e-01	4.766260e-01	4.744246e-01	-2.201359e-03	-2.599059e-03	3.977007e-04	-1.498380e-03	1.100679e-03	4.755253e-01	-1.511018e-20	4.755253e-01	-4.755253e-01
0.26          	9.621741e-01	4.822546e-01	4.799195e-01	-2.335082e-03	-2.632796e-03	2.977141e-04	-1.465255e-03	1.167541e-03	4.810870e-01	-1.526834e-20	4.810870e-01	-4.810870e-01
0.28          	9.731825e-01	4.878337e-01	4.853488e-01	-2.484924e-03	-2.669831e-03	1.849077e-04	-1.427369e-03	1.242462e-03	4.865912e-01	-1.540935e-20	4.865912e-01	-4.865912e-01
0.3           	9.840510e-01	4.933020e-01	4.907490e-01	-2.552991e-03	-2.662856e-03	1.098645e-04	-1.386360e-03	1.276496e-03	4.920255e-01	-1.553637e-20	4.920255e-01	-4.920255e-01
0.32          	9.948187e-01	4.987302e-01	4.960885e-01	-2.641696e-03	-2.664363e-03	2.266693e-05	-1.343515e-03	1.320848e-03	4.974094e-01	-1.564881e-20	4.974094e-01	-4.974094e-01
0.34          	1.005502e+00	5.041207e-01	5.013818e-01	-2.738898e-03	-2.669256e-03	-6.964297e-05	-1.299806e-03	1.369449e-03	5.027512e-01	-1.574717e-20	5.027512e-01	-5.027512e-01
0.36          	1.016112e+00	5.094696e-01	5.066424e-01	-2.827165e-03	-2.669562e-03	-1.576038e-04	-1.255979e-03	1.413583e-03	5.080560e-01	-1.583247e-20	5.080560e-01	-5.080560e-01
0.38          	1.026604e+00	5.147271e-01	5.118769e-01	-2.850158e-03	-2.637671e-03	-2.124870e-04	-1.212592e-03	1.425079e-03	5.133020e-01	-1.590412e-20	5.133020e-01	-5.133020e-01
0.4           	1.037035e+00	5.199703e-01	5.170643e-01	-2.905938e-03	-2.623018e-03	-2.829203e-04	-1.170049e-03	1.452969e-03	5.185173e-01	-1.596579e-20	5.185173e-01	-5.185173e-01
